"Distance [mm]","bx []"
0,0.0298029044643047
0.0400004,0.0325297275558116
0.0800008,0.0352565506473187
0.1200012,0.0379833737388256
0.1600016,0.0407101968303326
0.200002,0.0434370199218396
0.2400024,0.0461638430133466
0.2800028,0.0488906661048536
0.3200032,0.0516174891963606
0.3600036,0.0543443122878676
0.400004,0.0570711353793746
0.4400044,0.0597979584708816
0.4800048,0.0625247815623885
0.5200052,0.0652516046538954
0.5600056,0.0679784277454026
0.600006,0.0707052508369094
0.6400064,0.0744574591517448
0.6800068,0.0773609206080435
0.7200072,0.0802643820643425
0.7600076,0.0831678435206411
0.800008,0.0860713049769401
0.8400084,0.0889747664332388
0.8800088,0.0918782278895375
0.9200092,0.0947816893458365
0.9600096,0.0976851508021354
1.00001,0.100588612258434
1.0400104,0.103492073714733
1.0800108,0.106395535171032
1.1200112,0.109298996627331
1.1600116,0.112202458083629
1.200012,0.115105919539928
1.2400124,0.118009380996227
1.2800128,0.12209738045931
1.3200132,0.125370748341085
1.3600136,0.12864411622286
1.400014,0.131917484104634
1.4400144,0.13519085198641
1.4800148,0.138464219868184
1.5200152,0.141737587749959
1.5600156,0.145010955631734
1.600016,0.148284323513509
1.6400164,0.151557691395284
1.6800168,0.154831059277059
1.7200172,0.158104427158834
1.7600176,0.161377795040609
1.800018,0.164651162922384
1.8400184,0.167924530804159
1.8800188,0.172012478113174
1.9200192,0.175923973321914
1.9600196,0.179835468530655
2.00002,0.183746963739395
2.0400204,0.187658458948135
2.0800208,0.191569954156875
2.1200212,0.195481449365615
2.1600216,0.199392944574356
2.200022,0.203304439783096
2.2400224,0.207215934991836
2.2800228,0.211127430200576
2.3200232,0.215038925409317
2.3600236,0.218950420618057
2.400024,0.222861915826797
2.4400244,0.226773411035537
2.4800248,0.230684906244278
2.5200252,0.235332746058706
2.5600256,0.240313667804006
2.600026,0.245294589549307
2.6400264,0.250275511294607
2.6800268,0.255256433039907
2.7200272,0.260237354785207
2.7600276,0.265218276530508
2.800028,0.270199198275808
2.8400284,0.275180120021108
2.8800288,0.280161041766408
2.9200292,0.285141963511709
2.9600296,0.290122885257009
3.00003,0.295103807002309
3.0400304,0.30008472874761
3.0800308,0.30506565049291
3.1200312,0.31004657223821
3.1600316,0.315141245722774
3.200032,0.321951434016231
3.2400324,0.328761622309689
3.2800328,0.335571810603145
3.3200332,0.342381998896602
3.3600336,0.34919218719006
3.400034,0.356002375483516
3.4400344,0.362812563776973
3.4800348,0.36962275207043
3.5200352,0.376432940363887
3.5600356,0.383243128657345
3.600036,0.390053316950802
3.6400364,0.396863505244259
3.6800368,0.403673693537716
3.7200372,0.410483881831173
3.7600376,0.411447450518607
3.800038,0.421276018023491
3.8400384,0.431104585528373
3.8800388,0.440933153033256
3.9200392,0.450761720538139
3.9600396,0.460590288043022
4.00004,0.470418855547904
4.0400404,0.480247423052787
4.0800408,0.49007599055767
4.1200412,0.499904558062553
4.1600416,0.509733125567435
4.200042,0.519561693072318
4.2400424,0.529390260577202
4.2800428,0.539218828082084
4.3200432,0.549047395586967
4.3600436,0.558875963091849
4.400044,0.554216727614396
4.4400444,0.566184863448137
4.4800448,0.578152999281876
4.5200452,0.590121135115616
4.5600456,0.602089270949356
4.600046,0.614057406783097
4.6400464,0.626025542616836
4.6800468,0.637993678450576
4.7200472,0.649961814284316
4.7600476,0.661929950118056
4.800048,0.673898085951797
4.8400484,0.685866221785537
4.8800488,0.697834357619276
4.9200492,0.709802493453018
4.9600496,0.721770629286758
5.00005,0.733738765120497
5.0400504,0.729225547327618
5.0800508,0.73575036468905
5.1200512,0.742275182050484
5.1600516,0.748799999411916
5.200052,0.755324816773348
5.2400524,0.761849634134781
5.2800528,0.768374451496214
5.3200532,0.774899268857646
5.3600536,0.781424086219078
5.400054,0.786528581431968
5.4400544,0.790431813355897
5.4800548,0.794335045279825
5.5200552,0.798238277203753
5.5600556,0.80214150912768
5.600056,0.806044741051609
5.6400564,0.809947972975537
5.6800568,0.813851204899464
5.7200572,0.817754436823392
5.7600576,0.822355529581367
5.800058,0.822327958821056
5.8400584,0.822300388060746
5.8800588,0.822272817300436
5.9200592,0.822245246540126
5.9600596,0.822217675779815
6.00006,0.822190105019505
6.0400604,0.822162534259195
6.0800608,0.822134963498885
6.1200612,0.822107392738574
6.1600616,0.821673917546024
6.200062,0.820997252314409
6.2400624,0.820320587082794
6.2800628,0.819643921851178
6.3200632,0.818967256619563
6.3600636,0.818290591387948
6.400064,0.817613926156333
6.4400644,0.816937260924717
6.4800648,0.816260595693102
6.5200652,0.819845936754774
6.5600656,0.818491030819525
6.600066,0.817136124884277
6.6400664,0.815781218949028
6.6800668,0.814426313013779
6.7200672,0.813071407078531
6.7600676,0.811716501143283
6.800068,0.810361595208034
6.8400684,0.809006689272785
6.8800688,0.807651783337537
6.9200692,0.806327032376062
6.9600696,0.805014664185292
7.00007,0.803702295994522
7.0400704,0.802389927803752
7.0800708,0.801077559612983
7.1200712,0.799765191422213
7.1600716,0.798452823231443
7.200072,0.797140455040674
7.2400724,0.795828086849904
7.2800728,0.796983322976971
7.3200732,0.795721369890768
7.3600736,0.794459416804566
7.400074,0.793197463718364
7.4400744,0.791935510632161
7.4800748,0.790673557545959
7.5200752,0.789411604459756
7.5600756,0.788149651373554
7.600076,0.786887698287351
7.6400764,0.785625745201149
7.6800768,0.78447615682969
7.7200772,0.783355996225083
7.7600776,0.782235835620477
7.800078,0.78111567501587
7.8400784,0.779995514411264
7.8800788,0.778875353806657
7.9200792,0.777755193202051
7.9600796,0.776635032597444
8.00008,0.775514871992838
8.0400804,0.775705268702636
8.0800808,0.774794645876388
8.1200812,0.773884023050139
8.1600816,0.772973400223891
